Profile,Field,Cross-reference,MS,Consumer,Producer
EHDSImagingReport,header.attestation.datetime,EHDSImagingReport.header.attestation.datetime,,,SHALL:able-to-populate
EHDSImagingReport,header.legalAuthentication,EHDSImagingReport.header.legalAuthentication,,,SHALL:able-to-populate
EHDSImagingReport,header.legalAuthentication.legalAuthenticator[x],EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x],,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,header.legalAuthentication.datetime,EHDSImagingReport.header.legalAuthentication.datetime,,,SHALL:able-to-populate
EHDSImagingReport,header.eventType,EHDSImagingReport.header.eventType,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,header.serviceSpecialty,EHDSImagingReport.header.serviceSpecialty,,SHOULD:process,
EHDSImagingReport,header.custodian,EHDSImagingReport.header.custodian,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,header.accessionNumber,EHDSImagingReport.header.accessionNumber,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,header.intendedRecipient[x],EHDSImagingReport.header.intendedRecipient[x],,,SHOULD:able-to-populate
EHDSImagingReport,presentedForm,EHDSImagingReport.presentedForm,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body,EHDSImagingReport.body,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.orderInformation,EHDSImagingReport.body.orderInformation,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body.orderInformation.orderId,EHDSImagingReport.body.orderInformation.orderId,,SHALL:process,SHALL:able-to-populate
EHDSImagingReport,body.orderInformation.orderDateAndTime,EHDSImagingReport.body.orderInformation.orderDateAndTime,,,
EHDSImagingReport,body.orderInformation.orderPlacer[x],EHDSImagingReport.body.orderInformation.orderPlacer[x],,,
EHDSImagingReport,body.orderInformation.orderReason[x],EHDSImagingReport.body.orderInformation.orderReason[x],,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body.orderInformation.clinicalQuestion,EHDSImagingReport.body.orderInformation.clinicalQuestion,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.supportingInformation,EHDSImagingReport.body.supportingInformation,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body.supportingInformation.observation,EHDSImagingReport.body.supportingInformation.observation,,,SHOULD:able-to-populate
EHDSImagingReport,body.supportingInformation.condition,EHDSImagingReport.body.supportingInformation.condition,,,SHOULD:able-to-populate
EHDSImagingReport,body.supportingInformation.priorMedicationAdministration,EHDSImagingReport.body.supportingInformation.priorMedicationAdministration,,,SHOULD:able-to-populate
EHDSImagingReport,body.supportingInformation.device,EHDSImagingReport.body.supportingInformation.device,,,SHOULD:able-to-populate
EHDSImagingReport,body.supportingInformation.pregnancyStatus,EHDSImagingReport.body.supportingInformation.pregnancyStatus,,,SHOULD:able-to-populate
EHDSImagingReport,body.supportingInformation.sexForClinicalUse,EHDSImagingReport.body.supportingInformation.sexForClinicalUse,,,SHOULD:able-to-populate
EHDSImagingReport,body.specimen,EHDSImagingReport.body.specimen,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body.exposureInformation,EHDSImagingReport.body.exposureInformation,,,SHOULD:able-to-populate
EHDSImagingReport,body.examinationReport,EHDSImagingReport.body.examinationReport,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.modality,EHDSImagingReport.body.examinationReport.modality,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.bodySite,EHDSImagingReport.body.examinationReport.bodySite,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.imagingProcedures,EHDSImagingReport.body.examinationReport.imagingProcedures,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.medicationAdministration,EHDSImagingReport.body.examinationReport.medicationAdministration,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.adverseReaction,EHDSImagingReport.body.examinationReport.adverseReaction,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.results[x],EHDSImagingReport.body.examinationReport.results[x],,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.conclusion,EHDSImagingReport.body.examinationReport.conclusion,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.conclusion.impression,EHDSImagingReport.body.examinationReport.conclusion.impression,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.examinationReport.conclusion.conditionOrFinding[x],EHDSImagingReport.body.examinationReport.conclusion.conditionOrFinding[x],,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.recommendation,EHDSImagingReport.body.recommendation,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body.recommendation.description,EHDSImagingReport.body.recommendation.description,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,body.recommendation.carePlan,EHDSImagingReport.body.recommendation.carePlan,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingReport,body.comparisonStudy,EHDSImagingReport.body.comparisonStudy,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,dicomStudyMetadata,EHDSImagingReport.dicomStudyMetadata,,SHOULD:process,SHALL:able-to-populate
EHDSImagingReport,attachments,EHDSImagingReport.attachments,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingStudy,header,EHDSImagingStudy.header,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,header.subject,EHDSImagingStudy.header.subject,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,header.identifier,EHDSImagingStudy.header.identifier,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,header.author[x],EHDSImagingStudy.header.author[x],,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,header.date,EHDSImagingStudy.header.date,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,header.status,EHDSImagingStudy.header.status,,,SHALL:able-to-populate
EHDSImagingStudy,header.source,EHDSImagingStudy.header.source,,,
EHDSImagingStudy,header.language,EHDSImagingStudy.header.language,,,SHOULD:able-to-populate
EHDSImagingStudy,modality,EHDSImagingStudy.modality,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,bodySite,EHDSImagingStudy.bodySite,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,encounter,EHDSImagingStudy.encounter,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingStudy,started,EHDSImagingStudy.started,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,basedOn,EHDSImagingStudy.basedOn,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingStudy,numberOfSeries,EHDSImagingStudy.numberOfSeries,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,numberOfInstances,EHDSImagingStudy.numberOfInstances,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,description,EHDSImagingStudy.description,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,studyCustodian,EHDSImagingStudy.studyCustodian,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,studyEndpoint,EHDSImagingStudy.studyEndpoint,,SHALL:process,SHALL:able-to-populate
EHDSImagingStudy,series,EHDSImagingStudy.series,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.seriesUid,EHDSImagingStudy.series.seriesUid,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.number,EHDSImagingStudy.series.number,,SHOULD:process,SHOULD:able-to-populate
EHDSImagingStudy,series.seriesModality,EHDSImagingStudy.series.seriesModality,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.description,EHDSImagingStudy.series.description,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.numberOfInstances,EHDSImagingStudy.series.numberOfInstances,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.seriesEndpoint,EHDSImagingStudy.series.seriesEndpoint,,SHALL:process,SHALL:able-to-populate
EHDSImagingStudy,series.bodySite,EHDSImagingStudy.series.bodySite,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.specimen,EHDSImagingStudy.series.specimen,,,
EHDSImagingStudy,series.started,EHDSImagingStudy.series.started,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries,EHDSImagingStudy.series.instancesInTheSeries,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.instanceTitle,EHDSImagingStudy.series.instancesInTheSeries.instanceTitle,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.instanceUid,EHDSImagingStudy.series.instancesInTheSeries.instanceUid,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.sopClass,EHDSImagingStudy.series.instancesInTheSeries.sopClass,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.instanceNumber,EHDSImagingStudy.series.instancesInTheSeries.instanceNumber,,SHOULD:process,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.numberOfFrames,EHDSImagingStudy.series.instancesInTheSeries.numberOfFrames,,,SHOULD:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.keyImage,EHDSImagingStudy.series.instancesInTheSeries.keyImage,,,SHOULD:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.keyImage.flag,EHDSImagingStudy.series.instancesInTheSeries.keyImage.flag,,,SHOULD:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.keyImage.reason,EHDSImagingStudy.series.instancesInTheSeries.keyImage.reason,,,SHOULD:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.keyImage.seriesUID,EHDSImagingStudy.series.instancesInTheSeries.keyImage.seriesUID,,,SHALL:able-to-populate
EHDSImagingStudy,series.instancesInTheSeries.keyImage.instanceUID,EHDSImagingStudy.series.instancesInTheSeries.keyImage.instanceUID,,,SHALL:able-to-populate
EHDSImmunisation,header,EHDSImmunisation.header,,,
EHDSImmunisation,header.subject,EHDSImmunisation.header.subject,,,SHALL:able-to-populate
EHDSImmunisation,header.identifier,EHDSImmunisation.header.identifier,,,SHOULD:able-to-populate
EHDSImmunisation,header.author[x],EHDSImmunisation.header.author[x],,,
EHDSImmunisation,header.date,EHDSImmunisation.header.date,,,
EHDSImmunisation,header.status,EHDSImmunisation.header.status,,,SHALL:able-to-populate
EHDSImmunisation,header.source,EHDSImmunisation.header.source,,,
EHDSImmunisation,header.language,EHDSImmunisation.header.language,,,
EHDSImmunisation,diseaseOrAgentTargeted,EHDSImmunisation.diseaseOrAgentTargeted,,,
EHDSImmunisation,vaccine,EHDSImmunisation.vaccine,,,SHALL:able-to-populate
EHDSImmunisation,administeredProduct,EHDSImmunisation.administeredProduct,,,SHOULD:able-to-populate
EHDSImmunisation,administrationTime,EHDSImmunisation.administrationTime,,,SHALL:able-to-populate
EHDSImmunisation,administeringCentre,EHDSImmunisation.administeringCentre,,,
EHDSImmunisation,administrator,EHDSImmunisation.administrator,,,
EHDSImmunisation,note,EHDSImmunisation.note,,,
EHDSLaboratoryObservation,header,EHDSLaboratoryObservation.header,,,
EHDSLaboratoryObservation,header.subject,EHDSLaboratoryObservation.header.subject,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,header.identifier,EHDSLaboratoryObservation.header.identifier,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,header.author[x],EHDSLaboratoryObservation.header.author[x],,SHOULD:display,SHALL:able-to-populate
EHDSLaboratoryObservation,header.date,EHDSLaboratoryObservation.header.date,,,
EHDSLaboratoryObservation,header.status,EHDSLaboratoryObservation.header.status,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,header.source,EHDSLaboratoryObservation.header.source,,,
EHDSLaboratoryObservation,header.language,EHDSLaboratoryObservation.header.language,,,
EHDSLaboratoryObservation,header.directSubject[x],EHDSLaboratoryObservation.header.directSubject[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,observationDate[x],EHDSLaboratoryObservation.observationDate[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,type,EHDSLaboratoryObservation.type,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,originalName,EHDSLaboratoryObservation.originalName,,SHOULD:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,method,EHDSLaboratoryObservation.method,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,specimen,EHDSLaboratoryObservation.specimen,,SHOULD:display,SHALL:able-to-populate
EHDSLaboratoryObservation,order,EHDSLaboratoryObservation.order,,,SHALL:able-to-populate
EHDSLaboratoryObservation,performer[x],EHDSLaboratoryObservation.performer[x],,,SHOULD:able-to-populate
EHDSLaboratoryObservation,bodySite,EHDSLaboratoryObservation.bodySite,,,
EHDSLaboratoryObservation,result,EHDSLaboratoryObservation.result,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,result.value[x],EHDSLaboratoryObservation.result.value[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,result.uncertainty,EHDSLaboratoryObservation.result.uncertainty,,SHOULD:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,result.uncertainty.value,EHDSLaboratoryObservation.result.uncertainty.value,,,
EHDSLaboratoryObservation,result.uncertainty.type,EHDSLaboratoryObservation.result.uncertainty.type,,,
EHDSLaboratoryObservation,result.dataAbsentReason,EHDSLaboratoryObservation.result.dataAbsentReason,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange,EHDSLaboratoryObservation.referenceRange,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange.low,EHDSLaboratoryObservation.referenceRange.low,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange.high,EHDSLaboratoryObservation.referenceRange.high,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange.normalValue,EHDSLaboratoryObservation.referenceRange.normalValue,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,referenceRange.type,EHDSLaboratoryObservation.referenceRange.type,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange.appliesTo,EHDSLaboratoryObservation.referenceRange.appliesTo,,,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange.age,EHDSLaboratoryObservation.referenceRange.age,,,SHALL:able-to-populate
EHDSLaboratoryObservation,referenceRange.text,EHDSLaboratoryObservation.referenceRange.text,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,interpretation,EHDSLaboratoryObservation.interpretation,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,note,EHDSLaboratoryObservation.note,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component,EHDSLaboratoryObservation.component,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,component.type,EHDSLaboratoryObservation.component.type,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,component.originalName,EHDSLaboratoryObservation.component.originalName,,SHOULD:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,component.result,EHDSLaboratoryObservation.component.result,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.result.value[x],EHDSLaboratoryObservation.component.result.value[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.result.uncertainty,EHDSLaboratoryObservation.component.result.uncertainty,,SHOULD:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,component.result.uncertainty.value,EHDSLaboratoryObservation.component.result.uncertainty.value,,,
EHDSLaboratoryObservation,component.result.uncertainty.type,EHDSLaboratoryObservation.component.result.uncertainty.type,,,
EHDSLaboratoryObservation,component.result.dataAbsentReason,EHDSLaboratoryObservation.component.result.dataAbsentReason,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange,EHDSLaboratoryObservation.component.referenceRange,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.low,EHDSLaboratoryObservation.component.referenceRange.low,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.high,EHDSLaboratoryObservation.component.referenceRange.high,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.normalValue,EHDSLaboratoryObservation.component.referenceRange.normalValue,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.type,EHDSLaboratoryObservation.component.referenceRange.type,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.appliesTo,EHDSLaboratoryObservation.component.referenceRange.appliesTo,,,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.age,EHDSLaboratoryObservation.component.referenceRange.age,,,SHALL:able-to-populate
EHDSLaboratoryObservation,component.referenceRange.text,EHDSLaboratoryObservation.component.referenceRange.text,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryObservation,component.interpretation,EHDSLaboratoryObservation.component.interpretation,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryObservation,derivedFrom[x],EHDSLaboratoryObservation.derivedFrom[x],,,SHOULD:able-to-populate
EHDSLaboratoryObservation,hasMember[x],EHDSLaboratoryObservation.hasMember[x],,,SHOULD:able-to-populate
EHDSLaboratoryObservation,triggeredBy[x],EHDSLaboratoryObservation.triggeredBy[x],,,SHOULD:able-to-populate
EHDSLaboratoryObservation,testKit,EHDSLaboratoryObservation.testKit,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,calibrator,EHDSLaboratoryObservation.calibrator,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryObservation,accreditationStatus,EHDSLaboratoryObservation.accreditationStatus,,,
EHDSLaboratoryObservation,previousResults,EHDSLaboratoryObservation.previousResults,,,
EHDSLaboratoryObservation,pointOfCareTest,EHDSLaboratoryObservation.pointOfCareTest,,,
EHDSLaboratoryReport,header,EHDSLaboratoryReport.header,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryReport,header.subject,EHDSLaboratoryReport.header.subject,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryReport,header.identifier,EHDSLaboratoryReport.header.identifier,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryReport,header.author[x],EHDSLaboratoryReport.header.author[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,header.date,EHDSLaboratoryReport.header.date,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,header.status,EHDSLaboratoryReport.header.status,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,header.source,EHDSLaboratoryReport.header.source,,,
EHDSLaboratoryReport,header.language,EHDSLaboratoryReport.header.language,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.documentType,EHDSLaboratoryReport.header.documentType,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.documentTitle,EHDSLaboratoryReport.header.documentTitle,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.period,EHDSLaboratoryReport.header.period,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.version,EHDSLaboratoryReport.header.version,,,
EHDSLaboratoryReport,header.attestation,EHDSLaboratoryReport.header.attestation,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,header.attestation.attester[x],EHDSLaboratoryReport.header.attestation.attester[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,header.attestation.datetime,EHDSLaboratoryReport.header.attestation.datetime,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.legalAuthentication,EHDSLaboratoryReport.header.legalAuthentication,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.legalAuthentication.legalAuthenticator[x],EHDSLaboratoryReport.header.legalAuthentication.legalAuthenticator[x],,,SHALL:able-to-populate
EHDSLaboratoryReport,header.legalAuthentication.datetime,EHDSLaboratoryReport.header.legalAuthentication.datetime,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.eventType,EHDSLaboratoryReport.header.eventType,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.serviceSpecialty,EHDSLaboratoryReport.header.serviceSpecialty,,SHOULD:display,SHALL:able-to-populate
EHDSLaboratoryReport,header.custodian,EHDSLaboratoryReport.header.custodian,,,SHALL:able-to-populate
EHDSLaboratoryReport,header.intendedRecipient[x],EHDSLaboratoryReport.header.intendedRecipient[x],,,
EHDSLaboratoryReport,presentedForm,EHDSLaboratoryReport.presentedForm,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body,EHDSLaboratoryReport.body,,SHALL:process,SHALL:able-to-populate
EHDSLaboratoryReport,body.orderInformation,EHDSLaboratoryReport.body.orderInformation,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.orderInformation.orderId,EHDSLaboratoryReport.body.orderInformation.orderId,,SHOULD:process,SHALL:able-to-populate
EHDSLaboratoryReport,body.orderInformation.orderDateAndTime,EHDSLaboratoryReport.body.orderInformation.orderDateAndTime,,,
EHDSLaboratoryReport,body.orderInformation.orderPlacer[x],EHDSLaboratoryReport.body.orderInformation.orderPlacer[x],,SHOULD:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.orderInformation.orderReason[x],EHDSLaboratoryReport.body.orderInformation.orderReason[x],,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.orderInformation.clinicalQuestion,EHDSLaboratoryReport.body.orderInformation.clinicalQuestion,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.supportingInformation,EHDSLaboratoryReport.body.supportingInformation,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryReport,body.supportingInformation.observation,EHDSLaboratoryReport.body.supportingInformation.observation,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryReport,body.supportingInformation.condition,EHDSLaboratoryReport.body.supportingInformation.condition,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.supportingInformation.medicationAdministration,EHDSLaboratoryReport.body.supportingInformation.medicationAdministration,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.supportingInformation.sexForClinicalUse,EHDSLaboratoryReport.body.supportingInformation.sexForClinicalUse,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.supportingInformation.vaccination,EHDSLaboratoryReport.body.supportingInformation.vaccination,,SHALL:display,SHOULD:able-to-populate
EHDSLaboratoryReport,body.supportingInformation.otherSupportingInformation,EHDSLaboratoryReport.body.supportingInformation.otherSupportingInformation,,SHOULD:display,SHOULD:able-to-populate
EHDSLaboratoryReport,body.specimen,EHDSLaboratoryReport.body.specimen,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.serviceRequest,EHDSLaboratoryReport.body.serviceRequest,,SHOULD:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.resultData,EHDSLaboratoryReport.body.resultData,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.resultData.commentsInterpretationAndRecommendations,EHDSLaboratoryReport.body.resultData.commentsInterpretationAndRecommendations,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,body.resultData.laboratoryTestResults,EHDSLaboratoryReport.body.resultData.laboratoryTestResults,,SHALL:display,SHALL:able-to-populate
EHDSLaboratoryReport,attachments,EHDSLaboratoryReport.attachments,,SHOULD:display,SHOULD:able-to-populate
EHDSLocation,identifier,EHDSLocation.identifier,,,
EHDSLocation,name,EHDSLocation.name,,,
EHDSLocation,description,EHDSLocation.description,,,
EHDSLocation,type,EHDSLocation.type,,,
EHDSLocation,address,EHDSLocation.address,,,
EHDSLocation,managingOrganisation,EHDSLocation.managingOrganisation,,,
EHDSLocation,partOf,EHDSLocation.partOf,,,
EHDSMedication,identifyingCode[x],EHDSMedication.identifyingCode[x],,,SHALL:able-to-populate
EHDSMedication,classification,EHDSMedication.classification,,,
EHDSMedication,productName,EHDSMedication.productName,,,SHOULD:able-to-populate
EHDSMedication,marketingAuthorisationHolder,EHDSMedication.marketingAuthorisationHolder,,,
EHDSMedication,marketingAuthorisationHolder.organisationName,EHDSMedication.marketingAuthorisationHolder.organisationName,,,
EHDSMedication,marketingAuthorisationHolder.organisationIdentifier,EHDSMedication.marketingAuthorisationHolder.organisationIdentifier,,,
EHDSMedication,doseForm,EHDSMedication.doseForm,,,SHOULD:able-to-populate
EHDSMedication,description,EHDSMedication.description,,,
EHDSMedication,item,EHDSMedication.item,,,SHOULD:able-to-populate
EHDSMedication,item.doseForm,EHDSMedication.item.doseForm,,,SHOULD:able-to-populate
EHDSMedication,item.ingredient,EHDSMedication.item.ingredient,,,
EHDSMedication,item.ingredient.isActive,EHDSMedication.item.ingredient.isActive,,,
EHDSMedication,item.ingredient.substance,EHDSMedication.item.ingredient.substance,,,SHALL:able-to-populate
EHDSMedication,item.ingredient.strengthInfo,EHDSMedication.item.ingredient.strengthInfo,,,SHOULD:able-to-populate
EHDSMedication,item.ingredient.strengthInfo.strength,EHDSMedication.item.ingredient.strengthInfo.strength,,,SHALL:able-to-populate
EHDSMedication,item.ingredient.strengthInfo.basisOfStrengthSubstance,EHDSMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance,,,
EHDSMedication,item.unitOfPresentation,EHDSMedication.item.unitOfPresentation,,,
EHDSMedication,item.containedQuantity,EHDSMedication.item.containedQuantity,,,
EHDSMedication,item.amount,EHDSMedication.item.amount,,,
EHDSMedication,item.packageType,EHDSMedication.item.packageType,,,
EHDSMedication,device,EHDSMedication.device,,,
EHDSMedication,device.deviceQuantity,EHDSMedication.device.deviceQuantity,,,
EHDSMedication,device.device[x],EHDSMedication.device.device[x],,,
EHDSMedication,characteristic,EHDSMedication.characteristic,,,
EHDSMedication,characteristic.type,EHDSMedication.characteristic.type,,,
EHDSMedication,characteristic.value[x],EHDSMedication.characteristic.value[x],,,
EHDSMedication,batch,EHDSMedication.batch,,,
EHDSMedication,batch.lotNumber,EHDSMedication.batch.lotNumber,,,
EHDSMedication,batch.expirationDate,EHDSMedication.batch.expirationDate,,,
EHDSMedicationAdministration,header,EHDSMedicationAdministration.header,,,
EHDSMedicationAdministration,header.subject,EHDSMedicationAdministration.header.subject,,,SHALL:able-to-populate
EHDSMedicationAdministration,header.identifier,EHDSMedicationAdministration.header.identifier,,,
EHDSMedicationAdministration,header.author[x],EHDSMedicationAdministration.header.author[x],,,
EHDSMedicationAdministration,header.date,EHDSMedicationAdministration.header.date,,,
EHDSMedicationAdministration,header.status,EHDSMedicationAdministration.header.status,,,SHALL:able-to-populate
EHDSMedicationAdministration,header.source,EHDSMedicationAdministration.header.source,,,
EHDSMedicationAdministration,header.language,EHDSMedicationAdministration.header.language,,,
EHDSMedicationAdministration,medication,EHDSMedicationAdministration.medication,,,SHALL:able-to-populate
EHDSMedicationAdministration,occurrence[x],EHDSMedicationAdministration.occurrence[x],,,SHALL:able-to-populate
EHDSMedicationAdministration,reason[x],EHDSMedicationAdministration.reason[x],,,
EHDSMedicationAdministration,dosage,EHDSMedicationAdministration.dosage,,,SHALL:able-to-populate
EHDSMedicationAdministration,note,EHDSMedicationAdministration.note,,,
EHDSMedicationDispense,header,EHDSMedicationDispense.header,,,
EHDSMedicationDispense,header.subject,EHDSMedicationDispense.header.subject,,SHALL:process,SHALL:able-to-populate
EHDSMedicationDispense,header.identifier,EHDSMedicationDispense.header.identifier,,,
EHDSMedicationDispense,header.author[x],EHDSMedicationDispense.header.author[x],,SHOULD:process,SHALL:able-to-populate
EHDSMedicationDispense,header.date,EHDSMedicationDispense.header.date,,SHOULD:process,SHALL:able-to-populate
EHDSMedicationDispense,header.status,EHDSMedicationDispense.header.status,,SHALL:process,SHALL:able-to-populate
EHDSMedicationDispense,header.source,EHDSMedicationDispense.header.source,,,
EHDSMedicationDispense,header.language,EHDSMedicationDispense.header.language,,,
EHDSMedicationDispense,dispenseLocation,EHDSMedicationDispense.dispenseLocation,,,
EHDSMedicationDispense,receiver[x],EHDSMedicationDispense.receiver[x],,,
