Profile,Field,MS
MadoFhirBundle,implicitRules,
MadoFhirBundle,language,
MadoFhirBundle,identifier,MS
MadoFhirBundle,type,
MadoFhirBundle,timestamp,MS
MadoFhirBundle,total,
MadoFhirBundle,link,
MadoFhirBundle,extension,
MadoFhirBundle,modifierExtension,
MadoFhirBundle,relation,
MadoFhirBundle,url,
MadoFhirBundle,entry,
MadoFhirBundle,fullUrl,
MadoFhirBundle,resource,
MadoFhirBundle,search,
MadoFhirBundle,mode,
MadoFhirBundle,score,
MadoFhirBundle,request,
MadoFhirBundle,method,
MadoFhirBundle,ifNoneMatch,
MadoFhirBundle,ifModifiedSince,
MadoFhirBundle,ifMatch,
MadoFhirBundle,ifNoneExist,
MadoFhirBundle,response,
MadoFhirBundle,status,
MadoFhirBundle,location,
MadoFhirBundle,etag,
MadoFhirBundle,lastModified,
MadoFhirBundle,outcome,
MadoFhirBundle,entry[composition],MS
MadoFhirBundle,entry[imaging-study],MS
MadoFhirBundle,entry[patient],MS
MadoFhirBundle,entry[wado-endpoint],MS
MadoFhirBundle,entry[web-endpoint],MS
MadoFhirBundle,entry[creator],MS
MadoFhirBundle,entry[creator-organization],MS
MadoFhirBundle,entry[requested-procedure],MS
MadoFhirBundle,signature,
MadoFhirDocumentReference,id,
MadoFhirDocumentReference,meta,
MadoFhirDocumentReference,extension,
MadoFhirDocumentReference,versionId,
MadoFhirDocumentReference,lastUpdated,
MadoFhirDocumentReference,source,
MadoFhirDocumentReference,profile,
MadoFhirDocumentReference,security,
MadoFhirDocumentReference,tag,
MadoFhirDocumentReference,implicitRules,
MadoFhirDocumentReference,language,
MadoFhirDocumentReference,text,
MadoFhirDocumentReference,contained,
MadoFhirDocumentReference,extension[bodysite],MS
MadoFhirDocumentReference,extension[concept],
MadoFhirDocumentReference,url,
MadoFhirDocumentReference,value[x],
MadoFhirDocumentReference,extension[reference],
MadoFhirDocumentReference,extension[_datatype],
MadoFhirDocumentReference,extension[modality],MS
MadoFhirDocumentReference,modifierExtension,
MadoFhirDocumentReference,masterIdentifier,
MadoFhirDocumentReference,identifier,MS
MadoFhirDocumentReference,identifier[entryUUID],MS
MadoFhirDocumentReference,status,
MadoFhirDocumentReference,docStatus,
MadoFhirDocumentReference,type,MS
MadoFhirDocumentReference,category,MS
MadoFhirDocumentReference,subject,MS
MadoFhirDocumentReference,date,MS
MadoFhirDocumentReference,author,MS
MadoFhirDocumentReference,author[source-organization],MS
MadoFhirDocumentReference,author[source-device],MS
MadoFhirDocumentReference,authenticator,
MadoFhirDocumentReference,custodian,
MadoFhirDocumentReference,relatesTo,MS
MadoFhirDocumentReference,code,
MadoFhirDocumentReference,target,
MadoFhirDocumentReference,relatesTo[kosReference],MS
MadoFhirDocumentReference,description,
MadoFhirDocumentReference,securityLabel,MS
MadoFhirDocumentReference,content,
MadoFhirDocumentReference,extension[profile],
MadoFhirDocumentReference,extension[value[x]],
MadoFhirDocumentReference,value[x][valueCanonical],
MadoFhirDocumentReference,attachment,
MadoFhirDocumentReference,contentType,
MadoFhirDocumentReference,language,MS
MadoFhirDocumentReference,data,
MadoFhirDocumentReference,size,
MadoFhirDocumentReference,hash,
MadoFhirDocumentReference,title,
MadoFhirDocumentReference,creation,MS
MadoFhirDocumentReference,format,MS
MadoFhirDocumentReference,system,
MadoFhirDocumentReference,version,
MadoFhirDocumentReference,display,
MadoFhirDocumentReference,userSelected,
MadoFhirDocumentReference,context,
MadoFhirDocumentReference,encounter,
MadoFhirDocumentReference,event,
MadoFhirDocumentReference,period,MS
MadoFhirDocumentReference,start,
MadoFhirDocumentReference,end,
MadoFhirDocumentReference,facilityType,MS
MadoFhirDocumentReference,practiceSetting,MS
MadoFhirDocumentReference,sourcePatientInfo,MS
MadoFhirDocumentReference,reference,
MadoFhirDocumentReference,type,
MadoFhirDocumentReference,identifier,
MadoFhirDocumentReference,related,
MadoFhirDocumentReference,related[study-instance-uid],MS
MadoFhirDocumentReference,related[accession-number],MS
MadoImagingStudy,id,
MadoImagingStudy,meta,
MadoImagingStudy,implicitRules,
MadoImagingStudy,language,
MadoImagingStudy,text,
MadoImagingStudy,contained,
MadoImagingStudy,extension,
MadoImagingStudy,extension[anatomical-region],MS
MadoImagingStudy,modifierExtension,
MadoImagingStudy,identifier,
MadoImagingStudy,identifier[study-instance-uid],MS
MadoImagingStudy,status,
MadoImagingStudy,modality,MS
MadoImagingStudy,subject,MS
MadoImagingStudy,encounter,
MadoImagingStudy,started,MS
MadoImagingStudy,basedOn,
MadoImagingStudy,basedOn[order],MS
MadoImagingStudy,referrer,
MadoImagingStudy,interpreter,
MadoImagingStudy,endpoint,
MadoImagingStudy,endpoint[webviewer],MS
MadoImagingStudy,numberOfSeries,MS
MadoImagingStudy,numberOfInstances,
MadoImagingStudy,procedureReference,
MadoImagingStudy,procedureCode,MS
MadoImagingStudy,location,
MadoImagingStudy,reasonCode,
MadoImagingStudy,reasonReference,
