Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
General Study,C.7.2.1,Physician(s) of Record,"(0008,1048)",3,,Y,,dicom_only,Names of the physician(s) who are responsible for overall Patient care at time of Study (see Section C.7.3.1 for Performing Physician).,,,,,,,,
General Study,C.7.2.1,Physician(s) of Record Identification Sequence,"(0008,1049)",3,,Y,,dicom_only,"Identification of the physician(s) who are responsible for overall Patient care at time of Study. One or more Items are permitted in this Sequence. If more than one Item, the number and order shall correspond to the Value of Physician(s) of Record (0008,1048), if present.",,,,,,,,
General Study,C.7.2.1,Name of Physician(s) Reading Study,"(0008,1060)",3,,Y,,dicom_only,Names of the physician(s) reading the Study.,,,,,,,,
General Study,C.7.2.1,Physician(s) Reading Study Identification Sequence,"(0008,1062)",3,,Y,,dicom_only,"Identification of the physician(s) reading the Study. One or more Items are permitted in this Sequence. If more than one Item, the number and order shall correspond to the Value of Name of Physician(s) Reading Study (0008,1060), if present.",,,,,,,,
General Study,C.7.2.1,Requesting Service,"(0032,1033)",3,,Y,,dicom_only,"Institutional department, unit or service where the request initiated. See Note 1 and Note 2.",,,,,,,,
General Study,C.7.2.1,Requesting Service Code Sequence,"(0032,1034)",3,,Y,,dicom_only,"Institutional department, unit or service where the request initiated. Only a single Item is permitted in this Sequence.",,,,,,,,
General Study,C.7.2.1,Referenced Study Sequence,"(0008,1110)",3,,Y,,dicom_only,A Sequence that provides reference to a Study. One or more Items are permitted in this Sequence. See Section 10.6.1.,,,,,,,,
General Study,C.7.2.1,Procedure Code Sequence,"(0008,1032)",3,,Y,,dicom_only,A Sequence that conveys the type of procedure performed. One or more Items are permitted in this Sequence.,,,,,,,,
General Study,C.7.2.1,Reason For Performed Procedure Code Sequence,"(0040,1012)",3,,Y,,dicom_only,"Coded reason(s) for performing this procedure. Note May differ from the Values in Reason for the Requested Procedure (0040,100A) in Request Attribute Sequence (0040,0275), for example if what was performed differs from what was requested. One or more Items are permitted in this Sequence.",,,,,,,,
Key Object Document Series,C.17.6.1,Modality,"(0008,0060)",1,,Y,,dicom_only,"Type of device, process or method that created the Instances in this Series. Enumerated Values: KO Key Object Selection",,Fixed: KO,,,,,,
Key Object Document Series,C.17.6.1,Series Instance UID,"(0020,000E)",1,,Y,,dicom_only,Unique identifier of the Series. Note No specific semantics are specified.,,Unique for KOS,,,,,,
Key Object Document Series,C.17.6.1,Series Number,"(0020,0011)",1,,Y,,dicom_only,A number that identifies the Series. Note No specific semantics are specified.,,Unique for KOS,,,,,,
